name	taglines	imdb_rating	release_date	runtimes	countries	rated	genre	summary	director	cast	poster	screenshot1	screenshot2	screenshot3
Recep Ivedik 6	A Folk Hero	 2.8	Nov. 07, 2019	110 Min.	Turkey	N/A	('Comedy',)	 Recep İvedik is at home watching television, when postman brings him a surprise invitation for the annual dried beans festival of Konya province. Very excited with the news, Recep convinces his best friend Nurullah to join him but due to a miscommunication with the travel agency, they get plane tickets for Kenya, Africa, instead of Konya, Turkey. After arriving at Kenya and getting on a safari tour, our hapless companions find themselves lost in endless savannah and at the middle of two rival local tribes. Many adventures await Recep in this unfamiliar and exotic land, who will try anything and everything to return home, mostly to hilarious results. 	Togan Gökbakar	('Mustafa Dok', 'Somer Karvan', 'Furkan Bayraktar', 'Nurullah Çelebi', 'Şahan Gökbakar')	https://image.tmdb.org/t/p/w185/b4thKm1P0F1SYeL11uyVAlGhzR6.jpg	N/A	N/A	N/A
Last Christmas	Who doesn't have a little Christmas baggage?	 6.5	Nov. 07, 2019	102 Min.	United Kingdom	PG-13	('Romance', 'Comedy', 'Drama')	 Kate is a young woman who has a habit of making bad decisions, and her last date with disaster occurs after she accepts work as Santa’s elf for a department store. However, after she meets Tom there, her life takes a new turn. 	Paul Feig	('Michelle Yeoh', 'Emilia Clarke', 'Jacqueline Ramnarine', 'Patti LuPone', 'Rob Delaney', 'Emma Thompson', 'Sue Perkins', 'Rebecca Root', 'Henry Golding', 'Lydia Leonard')	https://image.tmdb.org/t/p/w185/kDEjffiKgjuGo2DRzsqfjvW0CQh.jpg	https://image.tmdb.org/t/p/original/eZ9wYTk9Gy2zYEv8rhRG3IoPuXG.jpg	https://image.tmdb.org/t/p/original/4Sg8WmBFousECaeX3h0m9nJ5bDi.jpg	https://image.tmdb.org/t/p/original/vQYwarUtaeyDYgwmcaTJYX1yix2.jpg
Midway	One battle turned the tide of war	 6.7	Nov. 06, 2019	138 Min.	China	PG-13	('History', 'Drama', 'Action', 'War')	 The story of the Battle of Midway, and the leaders and soldiers who used their instincts, fortitude and bravery to overcome massive odds. 	Roland Emmerich	('Nick Jonas', 'Luke Kleintank', 'Ed Skrein', 'Mandy Moore', 'Patrick Wilson', 'Woody Harrelson', 'Luke Evans', 'Tadanobu Asano', 'Aaron Eckhart', 'Dennis Quaid')	https://image.tmdb.org/t/p/w185/hj8pyoNnynGeJTAbl7jcLZO8Uhx.jpg	https://image.tmdb.org/t/p/original/xjP88DFPCQ81mbZHXFscyYtGskT.jpg	https://image.tmdb.org/t/p/original/5xegGPhCSVMKbyh6zeT6Th0BWLB.jpg	https://image.tmdb.org/t/p/original/4rEiz5E3LjxtFa7GYUXJDdiuOBE.jpg
Marriage Story	Where there's a love, there's a way.	 8	Nov. 06, 2019	137 Min.	United Kingdom	R	('Drama',)	 A stage director and an actress struggle through a grueling, coast-to-coast divorce that pushes them to their personal extremes. 	Noah Baumbach	('Martha Kelly', 'Alan Alda', 'Ray Liotta', 'Laura Dern', 'Azhy Robertson', 'Merritt Wever', 'Scarlett Johansson', 'Julie Hagerty', 'Adam Driver', 'Wallace Shawn')	https://image.tmdb.org/t/p/w185/pZekG6xabTmZxjmYw10wN84Hp8d.jpg	https://image.tmdb.org/t/p/original/4PCO7tewIGnE6ySjVf2DbJ3pjqq.jpg	https://image.tmdb.org/t/p/original/tuAmnKYc0kQSBbIZAGKJU1TKWtw.jpg	https://image.tmdb.org/t/p/original/ojqT9Pm8GyVDiHSRSmG3cbn8YAh.jpg
The Irishman	His story changed history	 7.9	Nov. 01, 2019	209 Min.	United States	R	('History', 'Crime', 'Drama')	 Pennsylvania, 1956. Frank Sheeran, a war veteran of Irish origin who works as a truck driver, accidentally meets mobster Russell Bufalino. Once Frank becomes his trusted man, Bufalino sends him to Chicago with the task of helping Jimmy Hoffa, a powerful union leader related to organized crime, with whom Frank will maintain a close friendship for nearly twenty years. 	Martin Scorsese	('Bobby Cannavale', 'Anna Paquin', 'Kathrine Narducci', 'Joe Pesci', 'Stephanie Kurtzuba', 'Harvey Keitel', 'Robert De Niro', 'Stephen Graham', 'Al Pacino', 'Ray Romano')	https://image.tmdb.org/t/p/w185/mbm8k3GFhXS0ROd9AD1gqYbIFbM.jpg	https://image.tmdb.org/t/p/original/iLLDiO4dbUfFEnRug8DuvFEl1NB.jpg	https://image.tmdb.org/t/p/original/aZ1ZqJ4uO1RK5gU5jRsO4qG7rJo.jpg	https://image.tmdb.org/t/p/original/ww5aGS5H2tUtckxFFNOJE2790S7.jpg
Doctor Sleep	Dare to go back	 7.4	Oct. 30, 2019	152 Min.	United Kingdom	R	('Horror', 'Drama', 'Thriller', 'Fantasy')	 Still irrevocably scarred by the trauma he endured as a child at the Overlook, Dan Torrance has fought to find some semblance of peace. But that peace is shattered when he encounters Abra, a courageous teenager with her own powerful extrasensory gift, known as the ‘shine’. Instinctively recognising that Dan shares her power, Abra has sought him out, desperate for his help against the merciless Rose the Hat and her followers. 	Eric Brevig	('Zahn McClarnon', 'Robert Longstreet', 'Emily Alyn Lind', 'Zackary Momoh', 'Cliff Curtis', 'Ewan McGregor', 'Carl Lumbly', 'Selena Anduze', 'Kyliegh Curran', 'Rebecca Ferguson')	https://image.tmdb.org/t/p/w185/p69QzIBbN06aTYqRRiCOY1emNBh.jpg	https://image.tmdb.org/t/p/original/A1lvRqwbLz0PIs5QyivFVzCarc6.jpg	https://image.tmdb.org/t/p/original/b1SGSQrWsvtThke5m7sMjCIZHNq.jpg	https://image.tmdb.org/t/p/original/zaKRw2WVgwiUm2PacZ5Jm6q8tOJ.jpg
Saekano: How to Raise a Boring Girlfriend Fine		 6	Oct. 26, 2019	N/A	Japan	N/A	('Animation',)	 The conclusion to the “Saenai Heroine no Sodatekata” series. 	Kanta Kamei	('Kiyono Yasuno', 'Tetsuya Kakihara', 'Chinatsu Akasaki', 'Sayuri Yahagi', 'Ai Kayano', 'Yoshitsugu Matsuoka', 'Saori Oonishi')	https://image.tmdb.org/t/p/w185/h8iptpRLGpH3YXs0WPrOfEdhlVX.jpg	https://image.tmdb.org/t/p/original/fkqJnnqj7GvSCkl1fQB4Pc0C6ct.jpg	https://image.tmdb.org/t/p/original/9neqbEGULNf6PTc5Ec4c23giIZe.jpg	https://image.tmdb.org/t/p/original/5shXctnpIsKUB0C9o96W2c2cybw.jpg
How to Train Your Dragon: Homecoming		 7.3	Oct. 25, 2019	22 Min.	United States	TV-PG	('Animation', 'Family', 'Adventure', 'Action', 'Fantasy')	 It’s been ten years since the dragons moved to the Hidden World, and even though Toothless doesn’t live in New Berk anymore, Hiccup continues the holiday traditions he once shared with his best friend. But the Vikings of New Berk were beginning to forget about their friendship with dragons. Hiccup, Astrid, and Gobber know just what to do to keep the dragons in the villagers’ hearts. And across the sea, the dragons have a plan of their own… 	Tim Johnson	('Gerard Butler', 'Craig Ferguson', 'Jay Baruchel', 'Christopher Mintz-Plasse', 'America Ferrera')	https://image.tmdb.org/t/p/w185/kXj2Qrfm994yLeuADqbOieU1mUH.jpg	https://image.tmdb.org/t/p/original/lt6Oii7soQefszumBlm7KfOFNIq.jpg	https://image.tmdb.org/t/p/original/4aATP0AKOBWckncRyXUz9RaVIzG.jpg	https://image.tmdb.org/t/p/original/ynZsB6DO82boDbxwzkbGYkddOsS.jpg
21 Bridges	The only way out is through him	 6.6	Oct. 24, 2019	99 Min.	China	R	('Crime', 'Action', 'Drama')	 An embattled NYPD detective, is thrust into a citywide manhunt for a pair of cop killers after uncovering a massive and unexpected conspiracy. As the night unfolds, lines become blurred on who he is pursuing, and who is in pursuit of him. 	Brian Kirk	('Alexander Siddig', 'Louis Cancelmi', 'Chadwick Boseman', 'Gary Carr', 'Sienna Miller', 'Stephan James', 'Taylor Kitsch', 'Keith David', 'J.K. Simmons', 'Victoria Cartagena')	https://image.tmdb.org/t/p/w185/b40ApfKDPoJYbWepUs7f09Y3fD.jpg	https://image.tmdb.org/t/p/original/5bUExJx4NLXJSaphRxO5VflaKdG.jpg	https://image.tmdb.org/t/p/original/tPbtSMeVgTuOUQo1t833KX0RTYr.jpg	https://image.tmdb.org/t/p/original/CymAAakSdwigQHvXlYCBLjNCn0.jpg
Terminator: Dark Fate	Welcome to the day after judgement day	 6.3	Oct. 23, 2019	128 Min.	China	R	('Adventure', 'Action', 'Science Fiction')	 Decades after Sarah Connor prevented Judgment Day, a lethal new Terminator is sent to eliminate the future leader of the resistance. In a fight to save mankind, battle-hardened Sarah Connor teams up with an unexpected ally and an enhanced super soldier to stop the deadliest Terminator yet. 	Tim Miller	('Natalia Reyes', 'Ferran Fernández', 'Tristán Ulloa', 'Mackenzie Davis', 'Gabriel Luna', 'Linda Hamilton', 'Arnold Schwarzenegger', 'Diego Boneta', 'Tomás Álvarez', 'Tom Hopper')	https://image.tmdb.org/t/p/w185/vqzNJRH4YyquRiWxCCOH0aXggHI.jpg	https://image.tmdb.org/t/p/original/riTANvQ8GKmQbgtC1ps3OfkU43A.jpg	https://image.tmdb.org/t/p/original/cThhpwI3bUckMW6BmqnTa9lW3qW.jpg	https://image.tmdb.org/t/p/original/gvy2QCMuXBI3naKx4D5zTKStPNx.jpg
